,country,type,lat,lon,cap,commissioned,decommissioned
5047,Poland,Coal,49.967,19.8,330.0,1961.0,
5048,Poland,Coal,49.967,19.8,330.0,1961.0,2018.0
5003,Poland,Coal,50.05,20.0,446.0,1983.0,
5004,Poland,Coal,50.05,20.0,446.0,1980.0,
5005,Poland,Coal,50.05,20.0,446.0,1977.0,
5002,Poland,Coal,50.05,20.0,446.0,1986.0,
4985,Poland,Coal,50.1,19.017,106.0,,
5025,Poland,Coal,50.133,18.517,1790.0,1978.0,
5024,Poland,Coal,50.133,18.517,1790.0,1978.0,
5023,Poland,Coal,50.133,18.517,1790.0,1978.0,
5028,Poland,Coal,50.133,18.517,1790.0,1973.0,
5029,Poland,Coal,50.133,18.517,1790.0,1973.0,
5030,Poland,Coal,50.133,18.517,1790.0,1972.0,
5027,Poland,Coal,50.133,18.517,1790.0,1974.0,
5026,Poland,Coal,50.133,18.517,1790.0,1978.0,
4958,Poland,Coal,50.134,18.846,905.0,1972.0,
4967,Poland,Coal,50.134,18.846,250.0,1967.0,
4966,Poland,Coal,50.134,18.846,250.0,1967.0,
4959,Poland,Coal,50.134,18.846,905.0,1971.0,
4960,Poland,Coal,50.134,18.846,905.0,1972.0,
4961,Poland,Coal,50.134,18.846,905.0,1971.0,
5039,Poland,Coal,50.2,19.45,557.0,1963.0,
4979,Poland,Coal,50.2,19.2,1345.0,1979.0,
4981,Poland,Coal,50.2,19.2,1345.0,1978.0,
4982,Poland,Coal,50.2,19.2,1345.0,1977.0,
5038,Poland,Coal,50.2,19.45,557.0,1962.0,
4983,Poland,Coal,50.2,19.2,1345.0,1977.0,
5041,Poland,Coal,50.2,19.45,557.0,1969.0,
4989,Poland,Coal,50.2,20.983,102.0,,
5040,Poland,Coal,50.2,19.45,557.0,1970.0,
4984,Poland,Coal,50.2,19.2,1345.0,1977.0,
4980,Poland,Coal,50.2,19.2,1345.0,1978.0,
4978,Poland,Coal,50.212,19.229,189.0,1997.0,
5080,Poland,Coal,50.3,18.967,226.0,2003.0,
5079,Poland,Coal,50.3,18.967,226.0,2003.0,
5035,Poland,Coal,50.344,19.278,155.0,2001.0,
4986,Poland,Coal,50.35,19.133,700.0,1967.0,
4987,Poland,Coal,50.35,19.133,700.0,2009.0,
4988,Poland,Coal,50.35,19.133,700.0,1966.0,
5057,Poland,Coal,50.433,21.333,1657.0,1982.0,
5056,Poland,Coal,50.433,21.333,1657.0,1981.0,
5062,Poland,Coal,50.433,21.333,1657.0,1982.0,
5058,Poland,Coal,50.433,21.333,1657.0,1981.0,
5061,Poland,Coal,50.433,21.333,1657.0,1980.0,
5060,Poland,Coal,50.433,21.333,1657.0,1980.0,
5059,Poland,Coal,50.433,21.333,1657.0,1979.0,
5063,Poland,Coal,50.483,18.717,53.4,,
5006,Poland,Coal,50.533,19.05,135.0,,
4976,Poland,Coal,50.55,22.067,250.0,,
4975,Poland,Coal,50.55,22.067,250.0,1958.0,
5001,Poland,Coal,50.752,17.882,1532.0,1993.0,
5000,Poland,Coal,50.752,17.882,1532.0,1995.0,
4999,Poland,Coal,50.752,17.882,1532.0,1996.0,
4998,Poland,Coal,50.752,17.882,1532.0,1997.0,
5031,Poland,Coal,51.033,17.15,94.0,1981.0,
5069,Poland,Coal,51.117,17.017,272.4,1899.0,
5070,Poland,Coal,51.117,17.017,272.4,1899.0,
5068,Poland,Coal,51.46,21.978,82.0,,
5092,Poland,Coal,51.65,21.467,1821.0,1973.0,
5042,Poland,Coal,51.65,21.467,2195.0,2017.0,
5043,Poland,Coal,51.65,21.467,2195.0,1978.0,
5044,Poland,Coal,51.65,21.467,2195.0,1979.0,
5095,Poland,Coal,51.65,21.467,1821.0,1973.0,
5094,Poland,Coal,51.65,21.467,1821.0,1972.0,
5093,Poland,Coal,51.65,21.467,1821.0,1973.0,
5091,Poland,Coal,51.65,21.467,1821.0,1974.0,
5090,Poland,Coal,51.65,21.467,1821.0,1974.0,
5089,Poland,Coal,51.65,21.467,1821.0,1974.0,
5088,Poland,Coal,51.65,21.467,1821.0,1974.0,
5034,Poland,Coal,51.746,19.538,198.0,,
5032,Poland,Coal,51.798,19.42,205.0,,
5067,Poland,Coal,52.183,21.083,620.0,1961.0,
5065,Poland,Coal,52.183,21.083,620.0,1961.0,
5066,Poland,Coal,52.183,21.083,620.0,1961.0,
5064,Poland,Coal,52.183,21.083,620.0,1961.0,
5015,Poland,Coal,52.283,20.983,386.0,,
5007,Poland,Coal,52.436,16.989,212.0,1991.0,
5008,Poland,Coal,52.436,16.989,212.0,1998.0,
4968,Poland,Coal,52.436,16.989,49.0,1985.0,
5077,Poland,Coal,53.083,18.083,183.0,1929.0,
5099,Poland,Coal,53.104,21.612,681.0,1972.0,
5097,Poland,Coal,53.104,21.612,681.0,1972.0,
5098,Poland,Coal,53.104,21.612,681.0,1972.0,
5075,Poland,Coal,53.133,23.167,156.6,1991.0,
5022,Poland,Coal,53.2,14.467,1362.0,1976.0,
5021,Poland,Coal,53.2,14.467,1362.0,1976.0,
5018,Poland,Coal,53.2,14.467,1362.0,1974.0,
5019,Poland,Coal,53.2,14.467,1362.0,1974.0,
5017,Poland,Coal,53.2,14.467,1362.0,1975.0,
5020,Poland,Coal,53.2,14.467,1362.0,1977.0,
5078,Poland,Coal,53.383,14.517,134.2,1961.0,
5033,Poland,Coal,53.399,18.397,211.0,,
5037,Poland,Coal,53.567,14.533,100.4,,
5053,Poland,Coal,54.378,18.642,217.3,1970.0,
4977,Poland,Coal,54.553,18.481,105.2,1974.0,
5172,Portugal,Coal,37.931,-8.807,1180.0,1987.0,
5173,Portugal,Coal,37.931,-8.807,1180.0,1985.0,
5174,Portugal,Coal,37.931,-8.807,1180.0,1989.0,
5175,Portugal,Coal,37.931,-8.807,1180.0,1988.0,
5156,Portugal,Coal,39.47,-8.116,576.0,1993.0,
5157,Portugal,Coal,39.47,-8.116,576.0,1995.0,
5243,Romania,Coal,45.365,23.262,133.0,1964.0,
5215,Romania,Coal,45.916,22.828,1000.0,1971.0,
5216,Romania,Coal,45.916,22.828,1000.0,1971.0,
5217,Romania,Coal,45.916,22.828,1000.0,1980.0,
5218,Romania,Coal,45.916,22.828,1000.0,1977.0,
